"Khatchig Mouradian is a journalist, writer and translator born in Lebanon .","(Khatchig Mouradian, place of birth, Lebanon)"
"Douglas P Fry (born 20 September 1953 in Boston), is a docent and professor of anthropology, teacher in the Faculty of Social and Caring Sciences at Åbo Akademi University in Finland and adjunct research scientist in the Bureau of Applied Research in Anthropology at the University of Arizona .","(Douglas P. Fry, place of birth, Boston)"
Hans Gefors (born 8 December 1952 in Stockholm) is a Swedish composer .,"(Hans Gefors, place of birth, Stockholm)"
"Sohail Fazal (born November 11, 1967, Lahore, Punjab) is a former Pakistani cricketer who played two ODIs in 1989 .","(Sohail Fazal, place of birth, Lahore)"
"Born in Virginia, Johnson completed preparatory studies .","(James Johnson, place of birth, Virginia)"
"Håvard Rem (born 7 February 1959 in Oslo) is a Norwegian author, living in Telemark .","(Håvard Rem, place of birth, Oslo)"
"Father Hubert Schiffer, born in Germany in 1915, was one of eight Jesuits who survived the bomb dropped on Hiroshima .","(Hubert Schiffer, place of birth, Germany)"
"Born in Concord, New South Wales, Petch attended Putney Primary School and Fort Street Boys High School before receiving his tertiary education in electrical engineering and music at Sydney Technical College .","(Ivan Petch, place of birth, Concord)"
"Guido Marzorati (born 1975, Venice, Italy) is a guitarist, singer, and songwriter .","(Guido Marzorati, place of birth, Venice)"
"Sean Hickey is a composer, born in Detroit, Michigan, in 1970 and currently based in New York .","(Sean Hickey, place of birth, Detroit)"
"Born in Constantinople, de Castro was educated in Paris and Vienna .","(Hector de Castro, place of birth, Constantinople)"
"Lloyd Goffe (born 30 January 1913 in Reading - died 1984)was a motorcycle speedway rider who started racing at Custom House for the West Ham Hammers in 1937, transferring to the Harringay Racers that season .","(Lloyd Goffe, place of birth, Reading)"
"Alois Wachsman (14 May 1898 Prague - 16 May 1942 Jičín) was a Czech painter, stage designer and architect .","(Alois Wachsman, place of birth, Prague)"
"Born in Trenton, New Jersey, Connor attended parochial schools as a child, graduating first in his class from Notre Dame High School in Lawrenceville .","(Martin Connor, place of birth, Trenton)"
"Mohammad Hossein Barkhah (, born 24 January 1977 in Tehran) is a retired weightlifting champion in Iran .","(Mohammad Hossein Barkhah, place of birth, Tehran)"
"James Robert Rhind, architect, was born in Inverness, Scotland in 1854 and trained as an architect in his father's local practice .","(James Robert Rhind, place of birth, Inverness)"
Jean Hamilius (born 5 February 1927 in Luxembourg City) is a former Luxembourgian politician and government minister from the Democratic Party .,"(Jean Hamilius, place of birth, Luxembourg)"
"Danny Seward is a British television actor who was born in Salford, Greater Manchester, England on 17 May 1976 .","(Danny Seward, place of birth, Salford)"
"Stephen Grey (b. 1968 in Rotterdam, Netherlands) is an award-winning British investigative journalist and author best known for revealing details of the CIA's program of 'extraordinary rendition .","(Stephen Grey, place of birth, Rotterdam)"
"Born on August 4, 1961 in Baltimore, MD, Verrecchio attended St Joseph's Monastery School and Mount St Joseph's High School in Baltimore, MD before attending the University of Maryland from 1979-1981 .","(Louie Verrecchio, place of birth, Baltimore)"
Marcus Junkelmann (* Oct 2 1949 in Munich) is a German historian and experimental archeologist .,"(Marcus Junkelmann, place of birth, Munich)"
John Dodington (born 3 July 1945) is a Canadian operatic bass .,"(John Dodington, place of birth, Toronto)"
"Graham Salisbury (also known as Sandy Salisbury) (born April 11, 1944, Philadelphia, Pennsylvania) is an American author .","(Graham Salisbury, place of birth, Philadelphia)"
"Bunny Johnson born 10 May 1947 in Jamaica is a retired boxer who was British heavyweight Champion in 1975 beating Danny McAlinden by a knockout, becoming in the process Britain's first Black Heavyweight Boxing Champion .","(Bunny Johnson, place of birth, Jamaica)"
Cenk Renda (born 10 January 1969 in Turkey) is a former professional basketball player from Turkey .,"(Cenk Renda, place of birth, Turkey)"
"Miha Brejc was born to a Slovene family in Belgrade, Serbia, Yugoslavia .","(Mihael Brejc, place of birth, Belgrade)"
"Gordon Baldwin born 1932 in Lincoln, England is an influential British studio potter .","(Gordon Baldwin, place of birth, England)"
"Shlomo Shriki, Israeli painter and artist, born in Morocco (1949), grew up and was educated in Kibbutz Yifat .","(Shlomo Shriki, place of birth, Morocco)"
"Tatiana Belokonenko (, ) is a figurative art painter born in Odessa, Ukraine .","(Tatiana Belokonenko, place of birth, Odessa)"
"Rob Childs (born 3 November 1950, in Derby, England) is a British author, who has written over eighty books, mainly aimed at young people .","(Rob Childs, place of birth, Derby)"
"Andreas Musalus was born to a noble Greek family in 1665, in Candia on the island of Crete .","(Andreas Musalus, place of birth, Crete)"
"Born in Naples, Bonini studied singing with Beniamino Carelli at the Conservatory of San Pietro a Majella in his native city .","(Francesco Maria Bonini, place of birth, Naples)"
"He then moved to England to take up a fellowship at Clare College, Cambridge, during which Mansfield Forbes had McGrath redecorate the interior of the College's house Finella, a large Victorian house on the backs in Cambridge, now belonging to Gonville and Caius College, Cambridge .","(Raymond McGrath, place of birth, Sydney)"
"Born in Scotland, Carter was educated at Currie High School, Edinburgh .","(Stephen Carter, Baron Carter of Barnes, place of birth, Scotland)"
"Born in Belfast to a Protestant family, Macgougan became an active trade unionist at an early age, and joined the Socialist Party of Northern Ireland, a Northern Ireland Labour Party-affiliate split from the Independent Labour Party (NILP) .","(Jack Macgougan, place of birth, Belfast)"
"Julia Wilson (born 23 September 1978 in Sydney) is a rower from Australia, who has won World Rowing Championships gold medals in the Eight and Four for her native country in 2001 and she picked up a silver medal in the Eight at the 2002 World Championship .","(Julia Wilson, place of birth, Sydney)"
"James Jordan (born 21 June 1793 at Chatham, Kent; died 10 September 1866 at Chatham) was an English professional cricketer who played first-class cricket from 1822 to 1824 .","(James Jordan, place of birth, Chatham)"
Wang Yong (born 29 January 1979 in Shanghai) is a male Chinese water polo player who was part of the gold medal winning team at the 2006 Asian Games .,"(Wang Yong, place of birth, Shanghai)"
Ronny Swiggers (born 1961 in Belgium) from Mechelen is one of Belgium's most successful quiz players .,"(Ronny Swiggers, place of birth, Belgium)"
"Sofia Ester was born in 1978, in Lisbon .","(Sofia Ester, place of birth, Lisbon)"
Nathan Long born in Australia is a former rugby league player .,"(Nathan Long, place of birth, Australia)"
"Ylli Bufi (born 25 May 1948, Tirana) is an Albanian politician who served briefly as Prime Minister of Albania in 1991 .","(Ylli Bufi, place of birth, Tirana)"
"Born in Edinburgh, he was the oldest son of Sir Andrew Agnew, 7th Baronet and his wife Madeline Carnegie, daughter of Sir David Carnegie, 4th Baronet .","(Sir Andrew Agnew, 8th Baronet, place of birth, Edinburgh)"
"John Seru (born 12 January 1964, Australia) is an actor and former professional wrestler .","(John Seru, place of birth, Australia)"
"Sebastiano Maffettone (born April 14, 1948 Naples) is an Italian philosopher, currently University Professor at LUISS University of Rome .","(Sebastiano Maffettone, place of birth, Naples)"
"Wang Wei (; born 25 December 1978 in Beijing, China) is a baseball catcher from the People's Republic of China .","(Wang Wei, place of birth, Beijing)"
"Theodore Baskin (born June 14, 1950) has been Principal Oboe of the Orchestre Symphonique de Montréal since 1980 .","(Theodore Baskin, place of birth, Detroit)"
"Ferenc Sipos (b. 13 December 1932, Budapest; d.1997) was a Hungarian footballer and trainer .","(Ferenc Sipos, place of birth, Budapest)"
Tadahisa Saizen (西前忠久 Saizen Tadahisa) is a seiyuu born in Tokyo on 25 September 1964 .,"(Tadahisa Saizen, place of birth, Tokyo)"
"Arthur Harold Stone (30 September 1916 -- 6 August 2000) was a British mathematician born in London, who worked mostly in topology .","(Arthur Harold Stone, place of birth, London)"
"Born in Hackney in London, Williams began his working life as a tea taster in Mincing Lane before working in the design department of a wallpaper manufacturer .","(Bransby Williams, place of birth, London)"
"Nothing is known of Branscombe's ancestry or education, but he was born in Exeter about 1220 .","(Walter Branscombe, place of birth, Exeter)"
"Born in Paris, Deroin became a seamstress .","(Jeanne Deroin, place of birth, Paris)"
"Sir Frederick William Pottinger, 2nd Baronet (27 April 1831 -- 9 April 1865), police inspector, was born in India, son of Lieutenant-General Sir Henry Pottinger of the British East India Company, and his wife Susanna Maria, née Cooke, of Dublin .","(Frederick Pottinger, place of birth, India)"
"Born in Pembroke, Ontario, Canada, Stone received an LLB from Marquette University Law School in 1912 .","(Patrick Thomas Stone, place of birth, Pembroke)"
"Andrea Neil (born October 26, 1971 in Vancouver, British Columbia) is an accomplished female soccer player .","(Andrea Neil, place of birth, Vancouver)"
Karl Albert Buehr (1866--1952) was a painter born in Germany .,"(Karl Albert Buehr, place of birth, Germany)"
"Born in Luxembourg City on 23 January 1949, Mullenbach studied piano, chamber music and composition at the Conservatoire de Paris and at the Salzburg Mozarteum where his teachers included Gerhard Wimberger and Cesar Bresgen .","(Alexander Mullenbach, place of birth, Luxembourg)"
Gilbert John Arrow (20 December 1873 London- 5 October 1948) was an English entomologist .,"(Gilbert John Arrow, place of birth, London)"
"John Howard is an English author, born in London in 1961 .","(John Howard, place of birth, London)"
"Born in Durham, Connecticut, he was the son of Elizur Goodrich .","(Elizur Goodrich, place of birth, Durham)"
Zenon Nowosz (born 6 February 1944 in Warsaw) is a Polish sprinter who participated in world athletics for Poland in the late 1960s and 1970s .,"(Zenon Nowosz, place of birth, Warsaw)"
"Born in Stockholm, Greta Knutson studied at the Kungliga Konsthögskolan, and settled in Paris, France during the early 1920s .","(Greta Knutson, place of birth, Stockholm)"
Paul Daniels (born 4 June 1981 in Burlington) is an American rower .,"(Paul Daniels, place of birth, Burlington)"
"Tom Jones (born April 26, 1943) is an American former racing driver, born in Dallas, Texas .","(Tom Jones, place of birth, Dallas)"
"Elizabeth Bartlett (24 April 1924 Deal, Kent - 18 June 2008) was a British poet .","(Elizabeth Bartlett, place of birth, Deal)"
"Laura Moriarty (b. December 24, 1970, Honolulu, Hawaii) is an American novelist .","(Laura Moriarty, place of birth, Honolulu)"
"David Moss (born 15 November 1968 in Doncaster) is an English former footballer, who played for Boston United, Doncaster Rovers, Chesterfield, Scunthorpe United, Partick Thistle, Falkirk, Dunfermline, Ayr United and Swansea City .","(David Moss, place of birth, Doncaster)"
"Richard Tillinghast is a native of Memphis, Tennessee, a graduate of Sewanee (BA, 1962) and Harvard (MA, 1963; PhD, 1970) .","(Richard Tillinghast, place of birth, Memphis)"
"Judith Mok born in Bergen, North Holland is a Dutch soprano, author and poet, who lives in Ireland and has released novels and many articles in English .","(Judith Mok, place of birth, Bergen)"
"Eugen Enderlen (January 21, 1863 -- June 7, 1940) was a German physician and surgeon born in Salzburg, Austria .","(Eugen Enderlen, place of birth, Salzburg)"
"Frank Farrell (31 March 1947 -- 19 July 1997) was a British rock bassist, vocalist and songwriter born in Birmingham, England .","(Frank Farrell, place of birth, Birmingham)"
"John Savage, who was born in Dublin on 13 December, 1828 .","(John Savage, place of birth, Dublin)"
"Born in Chicago, Illinois, Honig studied piano at the Manhattan School of Music before entering Columbia University where he was part of a social group of young men that included composer John Corigliano and theatre director Michael Kahn .","(Joel Honig, place of birth, Chicago)"
"Jan Cox Speas (1925 -- 1971) is a short story writer and novelist born in Raleigh, North Carolina in 1925 .","(Jan Cox Speas, place of birth, Raleigh)"
"Born in Montreal, Quebec, Spector received a Bachelor of Arts with Honors in Political Science, from McGill University in 1970 .","(Norman Spector, place of birth, Montreal)"
"Pieter van Bredael was born at Antwerp in 1622, and entered the Guild in 1650 .","(Peeter van Bredael, place of birth, Antwerp)"
"Born in Stirling, he moved to Birmingham in 1844, to work for John Frederick Feeney on the Birmingham Journal, and became a partner in it in 1852 .","(John Jaffray, place of birth, Stirling)"
"Coddington was born at Salford, Greater Manchester, the eldest son of William Dudley Coddington, a Manchester merchant, and his wife Elizabeth Hopwood .","(Sir William Coddington, 1st Baronet, place of birth, Salford)"
"Azra Erhat (b. 6 June 1915, Istanbul -- d 6 September 1982, Istanbul) was a Turkish authoress, archaeologist, academician and translator .","(Azra Erhat, place of birth, Istanbul)"
"Helen Sharsmith was born 1905 in Oakland, California .","(Helen Sharsmith, place of birth, Oakland)"
Jeff Spiers (born 2 May 1967 in Belfast) is a retired Northern Irish footballer and coach .,"(Jeff Spiers, place of birth, Belfast)"
"Ilus Vay (February 20, 1923 Budapest - October 28, 2008 Budapest) was a Hungarian film and television actress .","(Ilus Vay, place of birth, Budapest)"
"Igors Vihrovs (born 6 June 1978 in Riga) is a Latvian gymnast, who won the Golden Medal in floor exercise at the 2000 Summer Olympics, and the Bronze Medals in floor exercise in 2000 European Championships and 2001 World Championships .","(Igors Vihrovs, place of birth, Riga)"
"Harry Chadwick (born 13 November 1930 in Toronto, Ontario) was a member of the Canadian House of Commons from 1988 to 1993 .","(Harry Chadwick, place of birth, Toronto)"
"Franz Rummel (January 11, 1853May 2, 1901) was a German pianist, born in England and active across continental Europe .","(Franz Rummel, place of birth, England)"
Jim Grace (born 17 July 1954 in Dublin) is a former Irish footballer .,"(Jim Grace, place of birth, Dublin)"
Sarmini later achieved a doctorate in Fine Arts from the Berlin-Weißensee Academy of Arts in Germany .,"(Ali Sarmini, place of birth, Aleppo)"
"Born in Milwaukee, Wisconsin, Murphy had begun his diplomatic career in 1917 as a member of the American Legation in Bern, Switzerland .","(Robert Daniel Murphy, place of birth, Milwaukee)"
"Shannon Emerick (Born in Dallas, Texas) is an American stage actress and voice actress .","(Shannon Emerick, place of birth, Dallas)"
"Tony and Mary owned a cucumber farm in Canning, Ontario where Walter Gretzky was born and raised .","(Walter Gretzky, place of birth, Ontario)"
"Kristian Geelmuyden (born 12 November 1875 in Oslo, died 18 August 1969) was a Norwegian politician for the Conservative Party .","(Kristian Geelmuyden, place of birth, Oslo)"
"Tala Raassi born in Iran is a bikini designer for her own swimwear line Dar Be Dar, she has designed bikinis for the Miss Universe 2010 pageant .","(Tala Raassi, place of birth, Iran)"
Jules Louis Lewal (13 December 1823 Paris 22 January 1908 Senlis) was a French general .,"(Jules Louis Lewal, place of birth, Paris)"
"Patrick Daughters (born 1976 in Berkeley, California) is an American music video and commercial director currently signed to The Directors Bureau, after departing Black Dog Films in late 2006 .","(Patrick Daughters, place of birth, Berkeley)"
Renaud Gagneux (born 15 May 1947 in Paris) is a French composer .,"(Renaud Gagneux, place of birth, Paris)"
"Born in Baltimore, Maryland, Burmaster received her bachelors and masters degrees from University of Wisconsin-- Madison and was in public school administration .","(Elizabeth Burmaster, place of birth, Baltimore)"
Mazzoni was born and grew up in Philadelphia .,"(Dave Mazzoni, place of birth, Philadelphia)"
"Born in London, Haleem was raised in Canada, where he attended the University of Toronto and the School of Journalism at Humber College .","(Aamer Haleem, place of birth, London)"
"John Van Lear McMahon, lawyer, was born in Maryland in 1800, received his education equipment at Princeton, studied law and achieved eminence at the Maryland Bar .","(John Van Lear McMahon, place of birth, Maryland)"
"Born in Amsterdam, Kieft was part of the Dutch gymnastics team, which finished seventh in the team event .","(Jan Jacob Kieft, place of birth, Amsterdam)"
Wilhelmine von Hillern (11 March 1836 Munich - 15 December 1916 Hohenaschau) was a German actress and novelist .,"(Wilhelmine von Hillern, place of birth, Munich)"
"Tracey Magee (b. 27 March 1969, Belfast) is a Northern Irish broadcaster and journalist .","(Tracey Magee, place of birth, Belfast)"
"George graduated MA with First Class Honours in Philosophy and English, and then in pure Philosophy, from the University of Glasgow .","(George Edward Hughes, place of birth, Waterford)"
Alexander Riese (2 June 1840 Frankfurt am Main - 8 October 1924 Frankfurt) was a German classical scholar .,"(Alexander Riese, place of birth, Frankfurt)"
"Tina Kim (born 1973 in Seoul, Korea) is a Korean-American stand-up comedian .","(Tina Kim, place of birth, Seoul)"
"Bernard de Wolff (November 1, 1955), Dutch painter, was born in Amsterdam .","(Bernard de Wolff, place of birth, Amsterdam)"
Peter Ording (born 22 December 1976 in Stade) is a German rower .,"(Peter Ording, place of birth, Stade)"
"Branko Rasić (born February 13, 1976, in Prokuplje, Serbia) is a Serbian footballer (striker) playing currently for Unia Janikowo .","(Branko Rasić, place of birth, Serbia)"
"Ketil Hvoslef (né Ketil Sæverud; born 19 July 1939 in Bergen, Norway) is a Norwegian composer .","(Ketil Hvoslef, place of birth, Bergen)"
John Carlin was a first class cricketer and test umpire http://www.cricinfo.com/england/content/player/11009.html .,"(John Carlin, place of birth, Nottinghamshire)"
Antonio Selvaggio (born 1 January 1958 in Palermo) is a retired male long-distance runner from Italy .,"(Antonio Selvaggio, place of birth, Palermo)"
"Michael Aufhauser (born April 25, 1952 Augsburg) is a German animal rights activist and founder of Gut Aiderbichl, the largest sanctuary for animals in Austria, which houses more than 1,000 animals of a variety of species .","(Michael Aufhauser, place of birth, Augsburg)"
"Paula Margaret Tesoriero, MNZM (born 29 August 1975 in Wellington, New Zealand) is a New Zealand paralympics racing cyclist, most notable for her performance at the 2008 Summer Paralympics; her world record-breaking time in the Women's 500m Time Trial secured New Zealand's first gold medal at that games, and she later went on to win bronze in both the Individual pursuit, and the Women's individual road time trial .","(Paula Tesoriero, place of birth, Wellington)"
"In 1953, Marcum created a Midwestern United States racing series called ``Midwest Association for Race Cars'' (MARC) with his wife Mildred in his hometown Toledo, Ohio .","(John Marcum, place of birth, Toledo)"
"Beth Liebling (born March 12, 1967, Chicago, Illinois) is the co-founder of Seattle-based experimental instrumental group Hovercraft with guitarist/keyboardist/samplist Ryan Campbell (``Cambell 2000'') .","(Beth Liebling, place of birth, Illinois)"
"José Bénazéraf (born January 8, 1922 Casablanca, Morocco) is a French filmmaker and producer .","(José Bénazéraf, place of birth, Casablanca)"
"Witold Nazarewicz is a nuclear physicist born in Warsaw, Poland, currently teaching at the University of Tennessee .","(Witold Nazarewicz, place of birth, Warsaw)"
"Born in Finland, Lakomaa graduated from Helsinki Polytechnics .","(Aarne Lakomaa, place of birth, Finland)"
"Jerry Knight (born April 14, 1952, Los Angeles, California, United States) was an American R&B vocalist and bassist in the late 1970s and early 1980s .","(Jerry Knight, place of birth, California)"
"Yanitzia Canetti (born in 1967 in Havana, Cuba) is a Cuban author, translator, and editor .","(Yanitzia Canetti, place of birth, Havana)"
"Ken Niles (December 9, 1908, in Livingston, Montana -- October 31, 1988) was an American radio announcer .","(Ken Niles, place of birth, Livingston)"
"Riccardo Maspero (born 19 February 1970 in Lodi, Italy) is an Italian footballer who played as an attacking midfielder, most notably with Cremonese .","(Riccardo Maspero, place of birth, Italy)"
"Margaret Maury, née Kerubo (born 15 May 1974 in Kenya) is a French long-distance runner who specializes in the 5000 metres .","(Margaret Maury, place of birth, Kenya)"
"Bernard Wright (born January 1, 1963 in Jamaica, Queens, New York) is an American funk and jazz keyboardist who began his career as a session musician and later released several solo albums in the 1980s .","(Bernard Wright, place of birth, Jamaica)"
Caroline Beil (born 3 November 1966 in Hamburg) is a German actress and television presenter .,"(Caroline Beil, place of birth, Hamburg)"
"Joseph Judah Chorny was a Russian traveller, born at Minsk in 1835, on the 20th April .","(Joseph Judah Chorny, place of birth, Minsk)"
"Faussett was born at Oxford in 1829, was a younger son of the Rev .","(Thomas Godfrey Faussett, place of birth, Oxford)"
"Árpád Soós (20 September 1912 Budapest -- 1 June 1991 Budapest) was a Hungarian zoologist, entomologist and museologist .","(Árpád Soós, place of birth, Budapest)"
Samuel Davidson (23 September 1807 -- 1 April 1898) was an Irish biblical scholar who was born near Ballymena in Ireland .,"(Samuel Davidson, place of birth, Ireland)"
"Born on the Ribbingsberg manor in Västergötland in west Sweden, Leonard Gyllenhaal was son of an army officer and belonged to a family of the lower nobility .","(Leonard Gyllenhaal, place of birth, Sweden)"
"Sheyene Gerardi (born April 13,in Caracas, Venezuela) is a Venezuelan actress and model .","(Sheyene Gerardi, place of birth, Caracas)"
"Bryn Atkinson (born 9 December 1982, Canberra, Australian Capital Territory) is an Australian professional mountain bike racing cyclist from Townsville, QLD .","(Bryn Atkinson, place of birth, Canberra)"
"Claudine Chomat, who was born 7 February 1915 at Saint-Etienne (Loire) in France, and died on 14 October 1995 in Boulogne-Billancourt (Hauts-de-Seine), was a member of the French Resistance and a French communist militant .","(Claudine Chomat, place of birth, France)"
"Peter G Engelman, CPA, is a naturalized American writer, born in London, England, during World War II He immigrated to the US in November 1940 sailing from Liverpool to New Orleans on the Steamship Orbita .","(Peter G. Engelman, place of birth, London)"
"Stanisław Stolarczyk, born 4 May 1949 in Poland, is a journalist, reporter, writer, and documentary of the Polish footprints in Canada .","(Stanis%C5%82aw Stolarczyk, place of birth, Poland)"
"Born in Calgary, Canada to British parents, Naylor earned a master's degree in international relations in 1990 from Boston University .","(Sean Naylor, place of birth, Calgary)"
"Jean Muller was born on 11 December 1979 in Luxembourg City, son of Gary Muller, a piano teacher .","(Jean Muller, place of birth, Luxembourg)"
"Born in Manhattan, Roberts grew up in Mexico City and Sydney .","(Victoria Roberts, place of birth, Manhattan)"
"Born in Franklin, Wisconsin, Konop was studied at Two Rivers High School, Oshkosh State Normal School (now the University of Wisconsin--Oshkosh), and Northern Illinois College of Law .","(Thomas F. Konop, place of birth, Franklin)"
"Born in Brooklyn, NY, Cullen was raised in Staunton, Va He majored in political science and played varsity football at Furman University in Greenville, S.C., earning a Bachelor of Arts degree in 1971 .","(Richard Cullen, place of birth, Brooklyn)"
"Born in Massachusetts to Rhoda Lucinda Stone and John Foss Edgerly, he graduated from the Boston University School of Law in 1876 .","(Webster Edgerly, place of birth, Massachusetts)"
"Smedley was born on 2 January 1943 in Perth, Western Australia where he completed his secondary education at the Christian Brothers' Aquinas College .","(Peter Smedley, place of birth, Perth)"
Eric Ziebold (born in 1972 in Iowa) is an award-winning American chef and restaurateur behind CityZen in Washington D.C .,"(Eric Ziebold, place of birth, Iowa)"
"ATF Sinner (born Adam Buszko April 19, 1975 in Warsaw), also known as Adam The First Sinner - Polish musician, vocalist, composer and multi-instrumentalist .","(Adam Buszko, place of birth, Warsaw)"
"Originally named Simon Covington, he was born in Bedford, Bedfordshire, England, the youngest child of Simon Covington V and Elizabeth Brown .","(Syms Covington, place of birth, Bedford)"
"Joan Vincent Murray (born February 12, 1917 London - January 4, 1942 Saranac Lake, New York) was a Canadian American poet .","(Joan Vincent Murray, place of birth, London)"
"Gabriela Kulka (known as Gaba Kulka, born 1979 in Warsaw, Poland) is an independent artist, a songwriter and performer .","(Gabriela Kulka, place of birth, Warsaw)"
"Andrea Ratuski (born at Winnipeg, Manitoba) is a Canadian radio presenter and producer, particularly known as host of the national programme Northern Lights on CBC Radio (discontinued in 2007) .","(Andrea Ratuski, place of birth, Winnipeg)"
"Donald Haddow (born January 19, 1970 in Mississauga, Ontario) is a former international freestyle swimmer from Canada, who was a member of the Men's 4x200m Freestyle Relay Team that finished in eighth position at the 1988 Summer Olympics in Seoul, South Korea .","(Donald Haddow, place of birth, Ontario)"
"Born in London, United Kingdom, Daly studied animation for two years at Cape Town's City Varsity .","(Joe Daly, place of birth, London)"
"Born in Yorkshire, England, Goodall studied at London and Oxford Universities .","(Jane R. Goodall, place of birth, Yorkshire)"
"Natalia Skobeeva, born in Russia in 1975, is a London based artist and photographer graduated from Central Saint Martins College of Art and Design .","(Natalia Skobeeva, place of birth, Russia)"
"He was born on 8 December 1862 in Ottawa, the son of James Murphy, who came to Ontario from Ireland, and Mary Conway .","(Charles Murphy, place of birth, Ottawa)"
"Born in Middlesbrough, Duncan was the son of a ship's pilot .","(Charles Duncan, place of birth, Middlesbrough)"
"Born in Egypt in 1943, Sedra received his BSc from Cairo University in 1964 and his M.ASc and PhD from the University of Toronto, in 1968 and 1969, respectively .","(Adel Sedra, place of birth, Egypt)"
"William Wilson (born March 29, 1887 - died May 8, 1948) was an English-born physicist who spent much of his career in the United States .","(William Wilson, place of birth, Preston)"
"Born in Somerset, Bond was a student to his maternal-uncle, Dr McCann of Southampton, before training at King's College and King's College Hospital in London where he won the Gold Medal of the University of London for his Bachelor of Surgery examination .","(Thomas Bond, place of birth, Somerset)"
"Michael Manuel (born January 12, in Tacoma, Washington) is an American actor .","(Michael Manuel, place of birth, Tacoma)"
"James William Wallack (c. 1794--1864) was an Anglo-American actor and manager, born in London, and brother of Henry John Wallack .","(James William Wallack, place of birth, London)"
"Neil Swaab (born 2 January 1978 in Detroit, Michigan) is a New York based artist, designer, writer, and educator .","(Neil Swaab, place of birth, Detroit)"
"Jean Cotelle, 'the younger', was a painter and engraver, born in Paris in 1645 .","(Jean Cotelle, place of birth, Paris)"
"Nick Hall (born 31 December 1973, Birmingham) is an English singer-songwriter .","(Nick Hall, place of birth, Birmingham)"
"Born in Madison, Wisconsin, Robison holds a master's degree in urban and regional planning from the University of Wisconsin-- Madison .","(Julie Aberg Robison, place of birth, Madison)"
"Fina de Calderón (August 21 1927 Madrid- January 12 2010 Madrid) was a Spanish writer, poet, songwriter, and musician .","(Fina de Calderón, place of birth, Madrid)"
"Gordan Kožulj (born 28 November 1976 in Zagreb) is a former backstroke swimmer from Croatia, who competed in four consecutive Summer Olympics for his native country, starting in 1996 .","(Gordan Kožulj, place of birth, Zagreb)"
"Born in Devon on 15 May 1855 to a shoemaker and his wife, Newbery went to school in Bridport, Dorset where he qualified as a teacher, and later as an art master .","(Francis Henry Newbery, place of birth, Devon)"
"Born in England, Katherine Prescott Wormeley emigrated to the United States at a young age .","(Katherine Prescott Wormeley, place of birth, England)"
"Born in Israel, Bortnick was raised in St Louis, Missouri, where he attended racially integrated public schools and was immersed in the sounds of late 70's funk, rock and soul .","(Avi Bortnick, place of birth, Israel)"
"James Lawrence Hogeboom (August 25, 1766 Ghent, Columbia County, New York -- December 23, 1839 Castleton-on-Hudson, Rensselaer County, New York) was an American merchant, lawyer and politician from New York .","(James L. Hogeboom, place of birth, Ghent)"
